gene_id,gene_name,fisher_APA_sig,fisher_padj,APA_log2FC_plotting,deg_log2FC,deg_padj,deg_sig,coordinated_change,text_label
ENSG00000196236,XPNPEP3,longer,3.0429429465908e-19,1.39072587983815,0.313797601841353,7.9891674963696e-05,no,no,no
ENSG00000196247,ZNF107,longer,0.019253284255725,0.629350543560608,0.213968407331794,0.00224009290446774,no,no,no
ENSG00000196262,PPIA,shorter,7.84785409781624e-113,-0.41937833181839,-0.114007825332098,0.00422049989543743,no,no,no
ENSG00000196268,ZNF493,shorter,0.000475546181334116,-0.72753056378468,0.0497464965921557,0.592373334808466,no,no,no
ENSG00000196284,SUPT3H,longer,6.59688437732534e-11,0.293530861835487,0.461644151808683,2.50405183713532e-07,no,no,no
ENSG00000196338,NLGN3,longer,0.000281790785922455,1.03642835275848,-0.107702542617678,0.153959903126998,no,no,no
ENSG00000196352,CD55,longer,2.46598692748429e-05,0.66539898577452,-0.633614891913557,3.95942312428e-06,dn,longer,no
ENSG00000196358,NTNG2,longer,7.04533603862226e-25,2.47812216752527,-1.23442049601713,2.99481060738415e-53,dn,longer,no
ENSG00000196363,WDR5,longer,4.50059074456218e-24,0.26871030829718,-0.285190681567097,2.57222953462541e-05,no,no,no
ENSG00000196367,TRRAP,longer,1.2035275328273e-14,0.419953467416685,-0.10678057045017,0.0482175578656809,no,no,no
ENSG00000196368,NUDT11,longer,0.00375862190260834,0.128909920171261,-0.0874119869624067,0.190887830109981,no,no,no
ENSG00000196396,PTPN1,longer,8.59208745801611e-06,0.119907894258934,-0.20221412162841,2.39679818034022e-06,no,no,no
ENSG00000196417,ZNF765,shorter,6.73645322106714e-11,-0.41100599313299,-0.343762084682077,5.35201148307897e-07,no,no,no
ENSG00000196428,TSC22D2,longer,1.74240814301644e-15,0.733327461672336,0.259398292803915,2.19575535697158e-05,no,no,no
ENSG00000196440,ARMCX4,longer,3.90297526691015e-20,1.95360239420296,0.015632861696362,0.894955323200473,no,no,no
ENSG00000196453,ZNF777,longer,8.7496947500294e-05,0.38807015380438,-0.126102685538272,0.102223786167078,no,no,no
ENSG00000196504,PRPF40A,longer,3.4766964349453e-15,1.21883336895446,0.245359186178986,2.67766849594379e-09,no,no,no
ENSG00000196507,TCEAL3,longer,5.42233502223966e-10,1.43297919386335,-0.339103834181169,0.00459137257356456,no,no,no
ENSG00000196510,ANAPC7,longer,9.64958275106246e-28,1.53258294094989,0.826158054152597,5.64800729027225e-58,up,longer,no
ENSG00000196547,MAN2A2,longer,1.45329372576707e-12,0.467947555979205,0.0572625629014037,0.69711688296619,no,no,no
ENSG00000196586,MYO6,longer,2.83580939989051e-11,0.573220873782292,-0.323086731714259,2.76223109658535e-12,no,no,no
ENSG00000196628,TCF4,longer,0.00215479458892294,0.871714034840992,-0.48303286166078,0.0517874259040302,no,no,no
ENSG00000196655,TRAPPC4,longer,1.39123696579576e-28,1.4900091163799,0.142004226161266,0.126248547453659,no,no,no
ENSG00000196670,ZFP62,longer,1.05834259903248e-25,2.00324838234378,0.197984584697431,0.00141463770993689,no,no,no
ENSG00000196693,ZNF33B,shorter,1.91938219372071e-17,-0.18500054632337,0.302117968582181,1.59431450352741e-09,no,no,no
ENSG00000196705,ZNF431,longer,7.20857736411404e-13,0.627664386478525,-0.112501445847335,0.0678801881279063,no,no,no
ENSG00000196712,NF1,longer,2.34828118599026e-11,1.0038908263131,0.0995066428255159,0.215630070730092,no,no,no
ENSG00000196715,VKORC1L1,longer,3.59455804355625e-06,0.27901208834945,0.921173824413362,8.27043248286945e-71,up,longer,no
ENSG00000196730,DAPK1,longer,0.0148579590396125,0.343150932471246,-0.351917880429157,1.96300645877071e-09,no,no,no
ENSG00000196743,GM2A,longer,9.89059114583617e-45,1.43622766947117,0.285589284572132,0.00930941335740758,no,no,no
ENSG00000196776,CD47,longer,1.02356945797437e-18,0.807737214673826,0.193488629909824,2.90664364511806e-06,no,no,no
ENSG00000196792,STRN3,longer,0.00516976039922505,0.305006641475927,0.0205202801725354,0.812968566567095,no,no,no
ENSG00000196867,ZFP28,longer,0.0256884985400017,0.475334056435885,-0.30252470479799,0.00010781076860792,no,no,no
ENSG00000196911,KPNA5,shorter,2.66781017134158e-10,-1.16445180239667,0.473556668405633,1.38003304305296e-26,no,no,no
ENSG00000196914,ARHGEF12,longer,0.000486208000532726,0.659933281798624,-0.127328280992148,0.00111734116523552,no,no,no
ENSG00000196937,FAM3C,longer,1.96991542655344e-15,0.473276587265485,0.0972862152163457,0.0548577243457149,no,no,no
ENSG00000196972,SMIM10L2B,longer,0.000625769302108254,0.907779440630697,-0.669221363685894,1.1826584910814e-08,dn,longer,no
ENSG00000197006,METTL9,longer,7.61066367903225e-14,0.185665694758271,0.260665659311572,2.15968762650342e-12,no,no,no
ENSG00000197013,ZNF429,longer,1.12917045054512e-18,2.67147600992978,-0.239400656717572,0.030539324927401,no,no,no
ENSG00000197016,ZNF470,longer,0.00253962899274288,0.649818964023278,0.225015484866895,0.00323741870400394,no,no,no
ENSG00000197020,ZNF100,longer,2.48146233648022e-07,0.630515804727586,-0.348766462186651,0.0527584045656593,no,no,no
ENSG00000197024,ZNF398,longer,2.37184759202815e-05,0.926808939611048,0.0580473950579002,0.408767905422267,no,no,no
ENSG00000197062,ZSCAN26,longer,1.29515442116164e-05,0.333340814281528,0.152874132896657,0.0150876971273544,no,no,no
ENSG00000197077,KIAA1671,longer,0.000416456386452317,0.1195967617712,0.0519522880828818,0.75646415372539,no,no,no
ENSG00000197102,DYNC1H1,longer,5.8705071358586e-183,1.35649126098966,0.0152924233843296,0.722364026566424,no,no,no
ENSG00000197121,PGAP1,shorter,1.45305751601197e-05,-1.08776023861974,0.389919831971067,7.94569331060919e-11,no,no,no
ENSG00000197128,ZNF772,longer,0.000533732631833701,0.147786204908048,-0.507594015047831,3.49456207967526e-14,no,no,no
ENSG00000197162,ZNF785,longer,0.00871966409252674,0.177300741782524,-0.338458804197377,1.49035831411937e-05,no,no,no
ENSG00000197170,PSMD12,longer,2.30239794285481e-12,0.544459336715272,-0.0237644761674764,0.741393582269247,no,no,no
ENSG00000197183,NOL4L,shorter,7.37373443120955e-16,-0.704447296128965,0.148645724249164,3.2632142691139e-05,no,no,no
ENSG00000197208,SLC22A4,longer,7.43514494407377e-12,1.76653533597158,0.605531938383039,0.0495492512932484,up,longer,no
