groupID,Gene_Name,APA_direction,APA_sig,pvalue_up,pvalue_down,padj_up,padj_down,log2FC,padj,pvalue,FC_text_label,gene_label
ENSG00000000419,DPM1,proximal,proximal,0.00124950392458815,2.75755595149059e-05,0.195322647099223,0.0161191679709859,-14.982618207969,0.0161191679709859,2.75755595149059e-05,yes,no
ENSG00000000457,SCYL3,distal,no,0.471245107026442,0.642892629281866,1,1,0.686303461372893,1,0.471245107026442,no,no
ENSG00000000460,C1orf112,proximal,no,0.826713208514912,0.82324341429962,1,1,-0.0560488052491026,1,0.82324341429962,no,no
ENSG00000001036,FUCA2,distal,no,0.995969325613916,0.995671711813053,1,1,0.324850452770874,1,0.995671711813053,no,no
ENSG00000001084,GCLC,distal,no,0.629074042607555,0.952059530648832,1,1,0.417988221937647,1,0.629074042607555,no,no
ENSG00000001167,NFYA,proximal,no,0.444045900492166,0.468572852328372,1,1,-0.226043290542869,1,0.444045900492166,no,no
ENSG00000001461,NIPAL3,proximal,no,0.395006898477303,0.267088427484944,1,1,-14.3853037962397,1,0.267088427484944,no,no
ENSG00000001561,ENPP4,distal,no,0.370395959619598,0.771405126444455,1,1,5.669129702591,1,0.370395959619598,no,no
ENSG00000001629,ANKIB1,distal,no,0.463102336356004,0.694646525668076,1,1,16.9833007415602,1,0.463102336356004,no,no
ENSG00000001631,KRIT1,distal,no,0.849725237637921,0.420529215084694,1,1,0.24642368551611,1,0.420529215084694,no,no
ENSG00000002549,LAP3,proximal,no,0.572538221492544,0.603665228949822,1,1,-11.8023862803391,1,0.572538221492544,no,no
ENSG00000002587,HS3ST1,distal,no,0.0557599899564824,0.0188020658216933,0.993651882357866,0.699069242171247,1.87193004710755,0.699069242171247,0.0188020658216933,no,no
ENSG00000002745,WNT16,proximal,no,0.301256462536179,0.117239488291352,1,1,-1.35109263289744,1,0.117239488291352,no,no
ENSG00000002746,HECW1,proximal,no,0.817429915904632,0.642381774668188,1,1,-0.0703356503610397,1,0.642381774668188,no,no
ENSG00000002834,LASP1,proximal,no,0.72803917480461,0.695285406360181,1,1,-0.441130968767154,1,0.695285406360181,no,no
