gene_id,Scramble-7d-1,Scramble-7d-2,Scramble-7d-3,TDP43KD-7d-1,TDP43KD-7d-2,TDP43KD-7d-3,gene_name
ENSG00000000003,391.848412453465,373.001131085074,411.623329341193,464.226505254411,350.526648845954,385.496990766649,TSPAN6
ENSG00000000419,799.78017615678,724.735081427661,750.91591041969,710.98621053594,721.86857829387,694.668700227457,DPM1
ENSG00000000457,898.796129697254,950.235128182002,1004.77389000788,1290.5513764233,1112.87457188769,1147.80452977259,SCYL3
ENSG00000000460,180.021670151802,187.708534913538,128.068362033604,177.389905234224,166.464289515073,173.491251616442,C1orf112
ENSG00000000971,0.790362060272902,5.47860138646348,0,0.76274102683647,4.86026270409312,5.32698331460516,CFH
ENSG00000001036,794.793111051656,723.719438961403,770.072223645241,989.666339082022,879.562324105767,874.400854120971,FUCA2
ENSG00000001084,1100.18461826402,1069.98802007491,1090.49025337836,1153.63637133807,966.206826306232,1007.1029292184,GCLC
ENSG00000001167,5018.91356326462,5041.08184329351,5183.02807731319,3099.3978731724,3275.01480127501,3311.34481669133,NFYA
ENSG00000001460,306.612295428043,263.570902780928,505.832718523361,426.822499948305,545.323865102793,501.419994116091,STPG1
ENSG00000001461,2399.37867930539,2407.63231491593,2547.72244284005,1368.54927905736,1511.87571654918,1488.21002731967,NIPAL3
ENSG00000001497,2138.01699559815,1975.10331648746,2455.96512767677,899.64424397424,1178.25328259665,856.961147237891,LAS1L
ENSG00000001561,534.827244662758,455.743182683823,514.794536241748,753.295709458403,802.255260332992,713.887282002917,ENPP4
ENSG00000001617,956.022422022716,888.456967339482,1018.12200262501,478.594310393422,399.32058851388,390.887754111989,SEMA3F
ENSG00000001626,3.58606862313367,4.21623673808107,3.14719838159176,4.82132799513113,11.0949406067681,26.730368277531,CFTR
ENSG00000001629,6882.34831701051,7279.85751201392,7432.44326547205,10273.5187091986,10441.9540110527,10613.5342182686,ANKIB1
ENSG00000001630,22873.7035794429,23424.7421736326,23216.1517111601,11027.4389347127,11261.2537351846,10995.0933715774,CYP51A1
ENSG00000001631,1238.01670629717,1177.89582793399,1215.62873326388,1065.52968877072,1121.23472616988,905.80722361092,KRIT1
ENSG00000002016,387.489025957267,388.112153778441,466.65345455045,519.018017858293,682.562986929423,614.71948846861,RAD52
ENSG00000002079,2.86362631229898,0,4.82829534687872,1.22738705454267,0,6.43293843834503,MYH16
ENSG00000002330,1481.56190816155,1431.89828605945,1443.14784169178,1418.80947977202,1297.57355624425,1363.22042827661,BAD
ENSG00000002549,854.357222364005,868.279256843654,1150.56269120067,1246.16777896475,1697.5265482313,1219.42419006724,LAP3
ENSG00000002586,373.308607108849,376.969745278288,458.847025237207,161.245233547415,129.269792667936,113.427457310002,CD99
ENSG00000002587,82.7019296657191,90.5647829971636,71.1442738411575,55.5325522621711,73.6247928324238,111.302266020133,HS3ST1
ENSG00000002746,8958.14063675624,8057.31756754735,7239.15243020106,6312.35783379621,6264.92614267122,6771.97124462288,HECW1
ENSG00000002822,3848.91055886718,3564.81926578519,3965.42205092317,4017.57478398043,4221.05490438533,3758.35257994748,MAD1L1
ENSG00000002834,10111.1258605262,9784.42545456226,9082.04882450264,9925.69360758196,10007.8042744049,10247.9566186212,LASP1
ENSG00000002919,686.111694001267,784.65937662859,864.684726706066,418.650837055414,526.512201749687,631.993149286884,SNX11
ENSG00000002933,4.52768759387381,0,0,12.1436697327665,12.5776406554321,13.4461034959626,TMEM176A
ENSG00000003056,2503.65548076988,2518.81552828104,2586.00849819839,3284.81876848617,3107.0181049468,3071.17385938956,M6PR
ENSG00000003096,2611.17644033146,2706.75486823285,2913.3589778068,1765.00822462853,1733.06752184342,1658.93361869407,KLHL13
ENSG00000003137,142.324320666119,131.519504780719,195.945491536924,273.097405921222,150.054554126355,272.428591546654,CYP26B1
ENSG00000003147,1489.43811977976,1404.05860901163,1730.9768191607,1549.92394539273,2110.55912975963,1353.18815008762,ICA1
ENSG00000003249,3202.7835515484,3017.70455026068,3364.33460488155,2290.88827008604,2452.55169046687,2206.19626107065,DBNDD1
ENSG00000003393,3756.24438265821,2879.92723886822,3676.73884932443,6538.26780144333,5754.5987700885,7093.57969528076,ALS2
ENSG00000003400,47.0584072909488,9.99702334450776,15.2561099380834,46.6150459392199,48.9729274089782,38.3111336974845,CASP10
ENSG00000003402,6585.28584662662,7503.96730040766,7267.84624535885,4558.18487247038,4523.83976303097,4822.04883031486,CFLAR
ENSG00000003436,6.06930511503848,21.9540687202105,18.9955962268558,20.5629784740869,14.781359435882,25.5014852779638,TFPI
ENSG00000003509,819.385033130144,929.733909291444,745.859047593847,1131.31846708023,1091.32210111115,1339.4062885497,NDUFAF7
ENSG00000003756,13673.8300714626,14127.7859582412,14184.8832942665,18460.1924859285,18615.862772107,18769.1153003021,RBM5
ENSG00000003987,2453.21745051783,2188.16343001921,2567.76234324208,3047.30748886154,3089.76167640496,3067.56849503198,MTMR7
ENSG00000003989,100.891957984571,54.7681439439761,51.7868912846295,20.1875753321226,18.2481920939884,20.7542527177684,SLC7A2
ENSG00000004059,2333.5371074374,2320.63395287637,2187.47562934243,1722.8613986447,1721.54433390885,1605.0109512918,ARF5
ENSG00000004139,3629.60938242321,4115.88982983499,3880.08549531957,1984.7794328557,1741.60966471435,1981.33586956839,SARM1
ENSG00000004142,2380.95466109647,2507.60260927221,2454.29313213044,1697.57220730609,1714.61619952398,1734.2768748034,POLDIP2
ENSG00000004399,99.6307912859486,208.168094135819,116.723762078425,55.7922206958534,101.322818589604,50.1978744826292,PLXND1
