Sample,replicate,ratio,normalized_ratio
Control,1,0.789571927452062,1.1766462908254
Control,2,0.625607065225502,0.932300411423177
Control,3,0.634229656766524,0.945150083506612
Control,4,0.634735034545066,0.945903214244816
TDP-43 KD,1,1.04726078003476,1.56066277119461
TDP-43 KD,2,1.28647992477136,1.9171550799537
TDP-43 KD,3,1.04143925978169,1.55198734850723
TDP-43 KD,4,1.06883701368783,1.59281639066256
