gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000000003,396.120502957791,0.02788630254703,0.164588321824141,0.863205245235987,0.906240088081834,TSPAN6
ENSG00000000419,733.825776176899,-0.0948251491743897,0.105298542738044,0.362279832494799,0.473480427283187,DPM1
ENSG00000000457,1067.50593766179,0.309562949067285,0.105729882668688,0.00307526249697552,0.00669867355964781,SCYL3
ENSG00000000460,168.857335577447,0.0562247127172284,0.232688854454607,0.800152266819251,0.860802106192519,C1orf112
ENSG00000000971,2.86982508204519,0.125275387579632,0.697600460353918,0.580931164685048,0.68585212805762,CFH
ENSG00000001036,838.702381827843,0.256523035631379,0.109453579041203,0.0177645333845529,0.0338950648776022,FUCA2
ENSG00000001084,1064.60150309666,-0.0594034172292143,0.104415574770255,0.564180438208948,0.670459449014393,GCLC
ENSG00000001167,4154.79682916835,-0.651676687811913,0.0547073251847116,6.42057080669341e-33,7.81323974520904e-32,NFYA
ENSG00000001460,424.930379316587,0.412610214519055,0.247911325980929,0.0759348700044365,0.125914794280539,STPG1
ENSG00000001461,1953.89474333126,-0.746165617173654,0.0773591955144631,2.80439182105645e-22,2.2696608475737e-21,NIPAL3
ENSG00000001497,1583.99068559519,-1.14440794111176,0.142977638955437,3.55179988852854e-16,2.16045572166887e-15,LAS1L
ENSG00000001561,629.13386923044,0.578588709512628,0.126950326833013,3.54235437378672e-06,1.09480619208185e-05,ENPP4
ENSG00000001617,688.567340834417,-1.15551225627239,0.135671422330789,4.83276714068263e-18,3.2526693983463e-17,SEMA3F
ENSG00000001626,8.93269010370613,0.72593780131343,0.932080466575073,0.082563132135621,0.135374085727032,CFTR
ENSG00000001629,8820.60933883605,0.535300811992366,0.0476424461182773,2.08288772489646e-29,2.21834672122332e-28,ANKIB1
ENSG00000001630,17133.0639176184,-1.06144175155922,0.0337344264919119,9.22836666084693e-218,1.88529005773363e-215,CYP51A1
ENSG00000001631,1120.68548434109,-0.227106689236078,0.110390352201145,0.0371471064816583,0.0665456358362746,KRIT1
ENSG00000002016,509.759187923747,0.5270528736074,0.163957493890269,0.000941960726662894,0.00220959820189713,RAD52
ENSG00000002079,2.55870785867757,0.00258651402288905,0.690103256053575,0.992983714914156,0.995987682708728,MYH16
ENSG00000002330,1406.03525003428,-0.0934235771402497,0.0805308099015912,0.242697837054241,0.340541401028308,BAD
ENSG00000002549,1172.71961461194,0.512456449018391,0.169694527490377,0.00185518493326291,0.00417086652681662,LAP3
ENSG00000002586,268.844643524949,-1.53958868820015,0.217779618228531,2.81798801752776e-13,1.4392375670328e-12,CD99
ENSG00000002587,80.8117662697946,-0.0386867813116689,0.336864756870206,0.894404037811271,0.930042244973417,HS3ST1
ENSG00000002746,7267.31097593249,-0.32189666523074,0.0812775838452126,6.62084329564312e-05,0.000180127193508719,HECW1
ENSG00000002822,3896.0223573148,0.0758122332848018,0.0719218378719993,0.289843495246275,0.394250388449447,MAD1L1
ENSG00000002834,9859.8424400332,0.0591246590370616,0.0530619518810074,0.269457721004144,0.371567628506771,LASP1
ENSG00000002919,652.101997571318,-0.54126541424073,0.179256806257026,0.00176513217178277,0.0039812421293974,SNX11
ENSG00000002933,7.11585024633916,0.862290577524857,1.36805642372673,0.0317826701625565,0.0577231056068342,TMEM176A
ENSG00000003056,2845.24837334531,0.312453764708957,0.0613675766558622,3.20725242127686e-07,1.08946389352241e-06,M6PR
ENSG00000003096,2231.38327525619,-0.669601120930315,0.0755043881353356,4.5403139178265e-19,3.20292462462647e-18,KLHL13
ENSG00000003137,194.228311429666,0.491051204116046,0.300477509908064,0.0722187105032372,0.120672787502311,CYP26B1
ENSG00000003147,1606.35746219868,0.110022501321511,0.160948844626314,0.485023556877517,0.59781835808689,ICA1
ENSG00000003249,2755.74315471903,-0.459721003906548,0.075841173257881,1.06283738974696e-09,4.33822123262005e-09,DBNDD1
ENSG00000003393,4949.89278961058,0.898724370336988,0.113485199914718,1.05034128608079e-15,6.18252401367404e-15,ALS2
ENSG00000003400,34.3684412698704,0.617726961127733,0.601217735775839,0.12912320143168,0.200238977837427,CASP10
ENSG00000003402,5876.86214303489,-0.615264947786671,0.0661650244284007,9.401132705013e-21,7.13998907093083e-20,CFLAR
ENSG00000003436,17.9774655416729,0.196700644522447,0.545960200125918,0.59580295153332,0.698881492562428,TFPI
ENSG00000003509,1009.50414112609,0.499941630422872,0.132171604005895,0.000116648713017296,0.000309446513742761,NDUFAF7
ENSG00000003756,16305.278313718,0.411873310812277,0.0350999206681383,1.05849476128729e-31,1.23176389798822e-30,RBM5
ENSG00000003987,2735.63014734627,0.349344230953419,0.0780085763414899,6.6167618576087e-06,1.98906076947289e-05,MTMR7
ENSG00000003989,44.439502226176,-1.58523096019914,0.508930155133747,0.000262177316270538,0.00066564602329546,SLC7A2
ENSG00000004059,1981.84389558359,-0.434377369728043,0.0736778096526247,3.04094131043021e-09,1.20287576771858e-08,ARF5
ENSG00000004139,2888.88494578603,-1.01976813091414,0.0843941486526473,4.65343017589578e-34,5.90066616347913e-33,SARM1
ENSG00000004142,2081.5526140221,-0.509372794183893,0.0654412477904145,5.29171379265552e-15,2.9895226663815e-14,POLDIP2
ENSG00000004399,105.305926878047,-0.878156174376058,0.426978537815075,0.0138132861478101,0.026935375273762,PLXND1
ENSG00000004455,1736.88854855178,-0.093964931707393,0.0744045244405403,0.204071936020219,0.295232825894774,AK2
ENSG00000004468,65.7730035020019,3.06557885860143,0.653740083145697,1.62860898728372e-07,5.66929720616408e-07,CD38
